Season,Age,Pos,MP,TRB,AST,STL,BLK,PTS,PER,USG%,TS%,DBPM
1996-97,22,PG,10.5,1,2.1,0.3,0,3.3,10.8,17.1,0.539,-1.1
1997-98,23,PG,21.9,2.1,3.4,0.8,0.1,9.1,15.6,19.6,0.556,0.3
1998-99,24,PG,31.7,2.9,5.5,0.9,0.1,7.9,10.9,15.1,0.471,-1.4
1999-00,25,PG,27.4,2.2,4.9,0.7,0.1,8.6,13.5,14.5,0.601,-1.5
2000-01,26,PG,34.1,3.2,7.3,1,0.1,15.6,19.6,21.1,0.603,-1.1
2001-02,27,PG,34.6,3.1,7.7,0.6,0,17.9,20.7,23,0.602,-2.1
2002-03,28,PG,33.1,2.9,7.3,1,0.1,17.7,22.6,24.4,0.576,-0.8
2003-04,29,PG,33.5,3,8.8,0.9,0.1,14.5,20.5,19.5,0.59,-2.2
2004-05,30,PG,34.3,3.3,11.5,1,0.1,15.5,22,20.5,0.606,-0.8
2005-06,31,PG,35.4,4.2,10.5,0.8,0.2,18.8,23.3,23.3,0.632,-0.7
2006-07,32,PG,35.3,3.5,11.6,0.8,0.1,18.6,23.8,22.9,0.654,-0.8
2007-08,33,PG,34.3,3.5,11.1,0.7,0.1,16.9,21.1,22,0.641,-1.8
2008-09,34,PG,33.6,3,9.7,0.7,0.1,15.7,19.5,21.1,0.615,-2.1
2009-10,35,PG,32.8,3.3,11,0.5,0.1,16.5,21.6,22.9,0.615,-1.8
2010-11,36,PG,33.3,3.5,11.4,0.6,0.1,14.7,20.8,21.4,0.601,-1.5
2011-12,37,PG,31.6,3,10.7,0.6,0.1,12.5,20.3,19.6,0.625,-1.2
2012-13,38,PG,32.5,2.8,6.7,0.6,0.1,12.7,16,17.8,0.605,-1.4
2013-14,39,PG,20.9,1.9,5.7,0.5,0.1,6.8,12.2,18.9,0.488,-2.3
